tick,pubid,age,xcor,ycor,borough,OAID.x,spend.x,nearby_pubs,rating,numrat,income_per_tick,pubrent,alive_at_40,int_xcor,int_ycor,patchrent,OAID.y,patch_borough,spend.y,reachable_pubs,reachable_consumers,reachable_spending,initial_pubs,dead_pubs,current_pubs
1,ChIJJwUiAqu62EcRghlI-UVEKzo,2,66.0997,13.091,Havering,E00011695,42840,5,4.2,207,556551.5423,4360.000000000001,0,66,13,4360.000000000001,E00011695,Havering,42840,2,42,1747484,1,2,0
39,ChIJJygseVSp2EcR49ExrhXO8J0,40,33.4954,-11.2092,Greenwich,E00008072,63316,9,4.6,149,976696.7359,4740,1,33,-11,4740,E00008072,Greenwich,63316,10,106,8938149,1,0,1
39,ChIJK-v5lloCdkgRMVYl1g_Y4qc,40,12.6686,-9.089,Lewisham,E00016229,130950,21,4.400000000000001,616,740722.1628,6165.000000000001,1,13,-9,6165.000000000001,E00016229,Lewisham,130950,21,202,16378632,1,1,1
39,ChIJK0Rogf2p2EcR0zdeo178348,40,38.7025,-18.5014,Greenwich,E00007940,78653.95,8,4.5,606,851172.1728,4865.000000000001,1,39,-19,4865.000000000001,E00007940,Greenwich,78653.95,8,85,7578376,1,0,1
39,ChIJK0SjFBEbdkgRHFVxGCgDgTc,40,-15.7184,27.5738,Camden,E00004496,703684,33,4.400000000000001,105,1628803.1324,15000,1,-16,28,15000,E00004496,Camden,703684,31,155,37186234,1,0,1
39,ChIJK10QbugbdkgRopjltKKtND8,40,-7.8082,37.961,Haringey,E00010124,67014.71999999999,11,4.400000000000001,1072,1242285.7472,6910,1,-8,38,6910,E00010124,Haringey,67014.71999999999,12,183,10991588,2,1,2
39,ChIJK1R438EMdkgRGZvaCVGB4A0,40,-62.7705,-14.3731,Richmond upon Thames,E00019677,124446,16,4.1,385,975419.011,6470,1,-63,-14,6470,E00019677,Richmond upon Thames,124446,16,124,15569867,1,0,1
39,ChIJK1aUc3682EcRLBgu6kJa7uw,40,76.2343,46.3258,Havering,E00011462,27420,5,4.3,126,826345.3869,3645,1,76,46,3645,E00011462,Havering,27420,5,90,2912709,1,0,1
39,ChIJK2u1A_UcdkgRbRNfuEvWIG0,40,3.9892,25.484,Hackney,E00008714,89760.64,36,4.400000000000001,531,901419.9154,5975,1,4,25,5975,E00008714,Hackney,89760.64,38,317,32953644,1,0,2
39,ChIJK5C_XH0JdkgRABycFpVmFKk,40,-45.3019,-35.7188,Kingston upon Thames,E00014719,166664,17,4.400000000000001,570,887458.2754,5900,1,-45,-36,5900,E00014719,Kingston upon Thames,166664,16,123,19832462,1,0,1
39,ChIJK62cTfgCdkgRqguAkVvOGwU,40,12.2392,-4.6114,Lewisham,E00173941,93181,22,4.3,875,680252.1694,4599.999999999999,1,12,-5,4599.999999999999,E00173941,Lewisham,93181,23,231,17462860,3,0,3
39,ChIJK65fPq0FdkgR-bmWMcAV86Y,40,-11.1674,-6.7525,Lambeth,E00015587,277187,40,4.5,131,1289919.6113,5640,1,-11,-7,5640,E00015587,Lambeth,277187,40,294,45307943,1,0,1
39,ChIJK65fPq0FdkgRX8n_FL5qWmg,40,-12.7423,-9.6952,Lambeth,E00015318,156561.13,31,4.5,363,1378671.6738,9460.000000000002,1,-13,-10,9460.000000000002,E00015318,Lambeth,156561.13,30,261,43912190,3,2,1
39,ChIJK8ZpWd1tdkgR7Jh07dxX0nM,40,-89.3873,15.9624,Hillingdon,E00012498,168776,11,4.1,425,741617.8219,5825,1,-89,16,5825,E00012498,Hillingdon,168776,11,82,12074631,1,0,1
39,ChIJKQ-wxvAadkgRtJ4GlOWSGN4,40,-16.6682,23.4592,Camden,E00190353,336425.42,45,4.6,737,2343349.4457,12160.000000000002,1,-17,23,12160.000000000002,E00190353,Camden,336425.42,42,257,88928476,1,0,1
39,ChIJKQXsT-QadkgRa8oSK8y0QhU,40,-15.2494,20.566,Camden,E00004478,421217.23999999993,41,4.3,1808,2308558.446,8260.000000000002,1,-15,21,8260.000000000002,E00004478,Camden,421217.23999999993,43,276,88612560,2,0,2
0,ChIJKSYOL9gDdkgRAAWguNRmMM4,1,7.3862,-21.0013,Lewisham,E00016468,68434.9,24,4.400000000000001,189,818229.7222,6215.000000000001,0,7,-21,6215.000000000001,E00016468,Lewisham,68434.9,17,150,13699362,1,1,0
0,ChIJKTwjalACdkgRikqsKcAqPcU,1,12.4443,-8.9341,Lewisham,E00016897,87563.48000000001,24,4.1,1409,595074.4647,6010,0,12,-9,6010,E00016897,Lewisham,87563.48000000001,24,190,16424206,2,1,1
39,ChIJKU403MwAdkgRLQoCXDLHbo0,40,0.0927,-43.0504,Croydon,E00180984,137053.14999999997,30,4.2,1654,728994.557,4250,1,0,-43,4250,E00180984,Croydon,137053.14999999997,31,207,21095516,1,0,1
39,ChIJKW3RTN8PdkgRvvPz8fEjZoc,40,-31.2939,9.0657,Kensington and Chelsea,E00190375,141442.6,34,4.3,324,1186523.2951,6965,1,-31,9,6965,E00190375,Kensington and Chelsea,141442.6,35,293,44311042,2,0,2
39,ChIJKWXswMW72EcRXVzCMZ9vtlM,40,83.6681,33.203,Havering,E00011282,53897,1,4.3,312,1699310.2007,5990,1,84,33,5990,E00011282,Havering,53897,1,41,2438325,1,0,1
39,ChIJK_ar4w4GdkgRBtHkOptxcSc,40,-19.6888,-25.2266,Wandsworth,E00023248,177253,29,4.400000000000001,625,986939.4972,5664.999999999999,1,-20,-25,5664.999999999999,E00023248,Wandsworth,177253,31,217,31965231,2,0,2
39,ChIJKdGsWYms2EcRGuXSPq367Qk,40,48.5438,-38.5485,Bromley,E00003888,63537.63999999999,11,4.6,93,752504.8038,3885.000000000001,1,49,-39,3885.000000000001,E00003888,Bromley,63537.63999999999,13,86,6949408,1,0,1
39,ChIJKdw02GUddkgRKKYtSsGGVwQ,40,2.3138,18.5673,Hackney,E00183997,78576.97999999998,27,4.6,452,1353656.0837,6350,1,2,19,6350,E00183997,Hackney,78576.97999999998,27,356,37669924,2,0,3
39,ChIJKeTqne0TdkgRXoPmHqy8yGg,40,-55.6962,34.7797,Harrow,E00010901,125630,14,3.8,1298,622236.8025,4719.999999999999,1,-56,35,4719.999999999999,E00010901,Harrow,125630,14,112,11589096,2,0,2
39,ChIJKfvRdbgDdkgRp0oXFIMuNjc,40,7.0059,-13.8129,Southwark,E00020228,175089,26,4.3,850,1000630.0485,7790,1,7,-14,7790,E00020228,Southwark,175089,24,155,23956476,1,0,1
39,ChIJKwCzT3IGdkgR-BfUHxC5zSQ,40,-16.7283,-25.6132,Wandsworth,E00170935,179465.44,32,4.7,386,2088772.73,6545,1,-17,-26,6545,E00170935,Wandsworth,179465.44,31,224,34412144,1,0,1
39,ChIJKwaFQHABdkgRtKLSwhWoizs,40,7.8474,-26.9801,Bromley,E00003911,78867,16,5,267,658042.9095,5615.000000000001,1,8,-27,5615.000000000001,E00003911,Bromley,78867,17,161,12515131,1,0,1
39,ChIJKxpOBQIbdkgRDEa0oYUpLI4,40,-13.222,23.6471,Camden,E00004584,415524.21,50,4.2,1243,1286005.6767,6690.000000000001,1,-13,24,6690.000000000001,E00004584,Camden,415524.21,46,287,68995398,2,0,2
39,ChIJKxxLPuACdkgR4iqMjJ1Ty2M,40,9.7655,2.0297,Southwark,E00177510,233736,23,4.1,2262,763633.2883,6705,1,10,2,6705,E00177510,Southwark,233736,23,200,22796558,3,0,3
39,ChIJKyEu2vwDdkgR5LNlZyKDqBc,40,10.9675,3.3323,Southwark,E00177580,263531,25,4.7,287,1195844.2978,8615,1,11,3,8615,E00177580,Southwark,263531,23,200,26854681,2,0,2
39,ChIJKzQFPqIBdkgR-EE9XLsIjzQ,40,12.3894,-30.258,Bromley,E00003922,97550,21,4.9,324,802755.785,6319.999999999998,1,12,-30,6319.999999999998,E00003922,Bromley,97550,21,134,12240352,1,0,1
