pxcor,pycor,patchrent,OAID,patch_borough,spend,reachable_pubs,reachable_consumers,reachable_spending,initial_pubs,dead_pubs,current_pubs
30,-8,4015,E00008203,Greenwich,75759,16,124,10660335,0,0,1
-9,-56,4355,E00005457,Croydon,335155,9,62,9689086,0,0,0
59,-35,3660,E00003520,Bromley,82510,0,1,82510,0,0,0
-19,11,10150,E00023494,Westminster,388580.30000000005,41,264,87518271,4,1,3
1,-38,3934.999999999999,E00005555,Croydon,130744,23,209,18850296,0,0,0
-76,-1,3785,E00013089,Hounslow,99159,12,60,7364921,0,0,0
79,20,5055,E00011924,Havering,58868,0,8,527031,0,0,0
-66,-27,7920,E00019217,Richmond upon Thames,134954,12,76,10833599,0,0,0
41,-19,5470,E00002091,Bexley,72280.25,9,91,7543570,0,0,1
-97,50,5770,E00012152,Hillingdon,235825,0,2,408687,0,0,0
43,5,5169.999999999999,E00176530,Greenwich,53133.140845070426,7,97,6438693,0,0,1
58,52,5500,E00011496,Havering,38951,0,6,562928,0,1,0
-17,5,15000,E00023669,Westminster,865456,20,139,65189434,1,1,0
-69,-3,5240,E00179273,Hounslow,125435.82,18,102,12311279,0,0,0
0,-34,4230,E00005742,Croydon,91134,20,180,16194687,0,0,0
55,31,3940,E00000551,Barking and Dagenham,49038,10,118,6717763,0,0,0
1,73,5495,E00007029,Enfield,90725,0,7,405956,0,0,0
-49,-17,10015,E00019199,Richmond upon Thames,153215,3,48,7664582,0,0,0
45,23,4030.0000000000005,E00000335,Barking and Dagenham,88593.68000000001,13,146,8401403,0,0,0
39,-69,5910,E00003651,Bromley,1636074,2,5,5692310,0,0,0
-14,40,8730,E00010001,Haringey,86589.53,9,134,11929242,0,0,1
50,37,3999.999999999999,E00018353,Redbridge,45212,11,81,4875009,0,0,0
9,11,7049.999999999998,E00167260,Tower Hamlets,132382.02000000002,40,316,44212125,1,0,1
71,23,5260.000000000001,E00011449,Havering,53668.86000000001,6,77,3572552,0,0,0
-12,-29,5055,E00015888,Lambeth,118167.62,13,194,24081956,0,0,0
-58,49,4370,E00011126,Harrow,233927,5,43,5276850,0,0,0
69,52,5770,E00011366,Havering,313336,1,23,1460628,0,0,0
-32,-20,8850,E00023027,Wandsworth,66770,7,68,12019915,0,0,0
77,47,3705,E00011397,Havering,28178,5,66,2125329,0,0,0
-98,51,5500.000000000001,E00012152,Hillingdon,235825,0,1,235825,0,0,0
19,41,5260.000000000001,E00171512,Waltham Forest,61723.29,11,148,8288265,0,0,0
18,52,5080,E00021910,Waltham Forest,64310,12,106,7456857,0,0,0
-27,-45,5185.000000000001,E00020795,Sutton,136780,18,131,15060807,0,0,1
28,-64,4055.0000000000005,E00003163,Bromley,120537,5,19,2093190,0,0,0
38,-20,4875.000000000001,E00007949,Greenwich,90879,10,88,7886864,0,0,0
-4,-20,5785.000000000001,E00015551,Lambeth,142929,19,194,24715340,1,0,1
45,-17,5475,E00002268,Bexley,60462,10,106,7469666,0,0,0
-91,-11,3955,E00012179,Hillingdon,243502,0,1,243502,0,1,0
-17,60,5810,E00000847,Barnet,120446,8,86,8317278,0,0,0
10,55,4040,E00007347,Enfield,37350.880000000005,8,96,4077110,0,1,0
-96,20,5645,E00012544,Hillingdon,130469,12,44,7077922,0,0,0
-44,14,4239.999999999999,E00006194,Ealing,139979,9,58,7437008,0,0,0
-25,-35,5500,E00017324,Merton,78888.61999999998,10,103,10317261,0,0,0
41,-32,5855,E00003330,Bromley,207646,5,30,3592683,0,0,0
58,13,4000.0000000000005,E00000434,Barking and Dagenham,50278,0,14,743203,0,1,0
-60,-2,5455,E00013303,Hounslow,183490,10,44,7468319,0,0,0
