"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model_unlimitedlocation_0722_allocation.nlogo"
"try07192225"
"07/22/2025 23:38:15:156 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","constant_a","reach_distance","constant_b","constant_c","[step]","total-exits","initial-total-pubs","initial-red-pubs","tick-exit","tick-exit-red","exit-rate","exit-rate-red","remaining-total-pubs","remaining-red-pubs"
"10","1.001","5","0.2","60","0","0","0","0","0","0","0","0","0","0"
"11","1.001","5","0.2","60","1","646","2955","2955","646","646","218.61252115059222","218.61252115059222","2309","2309"
"14","1.001","5","0.2","60","0","0","0","0","0","0","0","0","0","0"
"15","1.001","5","0.2","60","0","0","0","0","0","0","0","0","0","0"
"12","1.001","5","0.2","60","0","0","0","0","0","0","0","0","0","0"
"13","1.001","5","0.2","60","1","647","2955","2955","647","647","218.95093062605753","218.95093062605753","2308","2308"
"9","1.001","5","0.2","60","1","647","2955","2955","647","647","218.95093062605753","218.95093062605753","2308","2308"
"10","1.001","5","0.2","60","1","650","2955","2955","650","650","219.9661590524535","219.9661590524535","2305","2305"
"11","1.001","5","0.2","60","2","787","2955","2309","141","26","47.71573604060914","11.26028583802512","2814","2283"
"14","1.001","5","0.2","60","1","649","2955","2955","649","649","219.62774957698815","219.62774957698815","2306","2306"
"15","1.001","5","0.2","60","1","647","2955","2955","647","647","218.95093062605753","218.95093062605753","2308","2308"
"12","1.001","5","0.2","60","1","645","2955","2955","645","645","218.2741116751269","218.2741116751269","2310","2310"
"9","1.001","5","0.2","60","2","780","2955","2308","133","35","45.008460236886634","15.164644714038129","2822","2273"
"14","1.001","5","0.2","60","2","793","2955","2306","144","35","48.73096446700507","15.17779705117086","2811","2271"
"10","1.001","5","0.2","60","2","804","2955","2305","154","25","52.11505922165821","10.845986984815617","2801","2280"
"13","1.001","5","0.2","60","2","815","2955","2308","168","41","56.85279187817259","17.76429809358752","2787","2267"
"11","1.001","5","0.2","60","3","828","2955","2283","41","4","13.874788494077835","1.7520805957074026","2914","2279"
"15","1.001","5","0.2","60","2","807","2955","2308","160","36","54.145516074450086","15.59792027729636","2795","2272"
"12","1.001","5","0.2","60","2","776","2955","2310","131","30","44.33164128595601","12.987012987012989","2824","2280"
"9","1.001","5","0.2","60","3","814","2955","2273","34","1","11.505922165820644","0.4399472063352398","2921","2272"
"14","1.001","5","0.2","60","3","819","2955","2271","26","3","8.798646362098138","1.321003963011889","2929","2268"
"10","1.001","5","0.2","60","3","843","2955","2280","39","4","13.197969543147208","1.7543859649122808","2916","2276"
"11","1.001","5","0.2","60","4","840","2955","2279","12","6","4.060913705583757","2.6327336551118914","2943","2273"
"12","1.001","5","0.2","60","3","803","2955","2280","27","3","9.137055837563452","1.3157894736842104","2928","2277"
"15","1.001","5","0.2","60","3","848","2955","2272","41","8","13.874788494077835","3.5211267605633805","2914","2264"
"13","1.001","5","0.2","60","3","857","2955","2267","42","4","14.213197969543147","1.7644464049404498","2913","2263"
"14","1.001","5","0.2","60","4","827","2955","2268","8","0","2.707275803722504","0","2947","2268"
"10","1.001","5","0.2","60","4","847","2955","2276","4","1","1.353637901861252","0.43936731107205623","2951","2275"
"9","1.001","5","0.2","60","4","822","2955","2272","8","2","2.707275803722504","0.8802816901408451","2947","2270"
"12","1.001","5","0.2","60","4","811","2955","2277","8","0","2.707275803722504","0","2947","2277"
"11","1.001","5","0.2","60","5","844","2955","2273","4","0","1.353637901861252","0","2951","2273"
"15","1.001","5","0.2","60","4","858","2955","2264","10","1","3.3840947546531304","0.4416961130742049","2945","2263"
"13","1.001","5","0.2","60","4","870","2955","2263","13","2","4.399323181049069","0.8837825894829873","2942","2261"
"14","1.001","5","0.2","60","5","832","2955","2268","5","2","1.6920473773265652","0.8818342151675485","2950","2266"
"10","1.001","5","0.2","60","5","847","2955","2275","0","0","0","0","2955","2275"
"9","1.001","5","0.2","60","5","827","2955","2270","5","0","1.6920473773265652","0","2950","2270"
"12","1.001","5","0.2","60","5","815","2955","2277","4","2","1.353637901861252","0.878348704435661","2951","2275"
"11","1.001","5","0.2","60","6","845","2955","2273","1","0","0.338409475465313","0","2954","2273"
"13","1.001","5","0.2","60","5","876","2955","2261","6","1","2.0304568527918785","0.4422821760283061","2949","2260"
"15","1.001","5","0.2","60","5","859","2955","2263","1","0","0.338409475465313","0","2954","2263"
"14","1.001","5","0.2","60","6","832","2955","2266","0","0","0","0","2955","2266"
"10","1.001","5","0.2","60","6","847","2955","2275","0","0","0","0","2955","2275"
"9","1.001","5","0.2","60","6","827","2955","2270","0","0","0","0","2955","2270"
"12","1.001","5","0.2","60","6","818","2955","2275","3","1","1.0152284263959392","0.43956043956043955","2952","2274"
"13","1.001","5","0.2","60","6","878","2955","2260","2","1","0.676818950930626","0.4424778761061947","2953","2259"
"11","1.001","5","0.2","60","7","845","2955","2273","0","0","0","0","2955","2273"
"15","1.001","5","0.2","60","6","860","2955","2263","1","0","0.338409475465313","0","2954","2263"
"14","1.001","5","0.2","60","7","832","2955","2266","0","0","0","0","2955","2266"
"10","1.001","5","0.2","60","7","849","2955","2275","2","0","0.676818950930626","0","2953","2275"
"12","1.001","5","0.2","60","7","820","2955","2274","2","0","0.676818950930626","0","2953","2274"
"9","1.001","5","0.2","60","7","827","2955","2270","0","0","0","0","2955","2270"
"13","1.001","5","0.2","60","7","878","2955","2259","0","0","0","0","2955","2259"
"15","1.001","5","0.2","60","7","861","2955","2263","1","1","0.338409475465313","0.44189129474149363","2954","2262"
"11","1.001","5","0.2","60","8","845","2955","2273","0","0","0","0","2955","2273"
"14","1.001","5","0.2","60","8","832","2955","2266","0","0","0","0","2955","2266"
"12","1.001","5","0.2","60","8","821","2955","2274","1","1","0.338409475465313","0.43975373790677225","2954","2273"
"10","1.001","5","0.2","60","8","850","2955","2275","1","0","0.338409475465313","0","2954","2275"
"13","1.001","5","0.2","60","8","878","2955","2259","0","0","0","0","2955","2259"
"15","1.001","5","0.2","60","8","861","2955","2262","0","0","0","0","2955","2262"
"9","1.001","5","0.2","60","8","827","2955","2270","0","0","0","0","2955","2270"
"11","1.001","5","0.2","60","9","845","2955","2273","0","0","0","0","2955","2273"
"12","1.001","5","0.2","60","9","822","2955","2273","1","1","0.338409475465313","0.4399472063352398","2954","2272"
"14","1.001","5","0.2","60","9","832","2955","2266","0","0","0","0","2955","2266"
"10","1.001","5","0.2","60","9","851","2955","2275","1","1","0.338409475465313","0.43956043956043955","2954","2274"
"15","1.001","5","0.2","60","9","861","2955","2262","0","0","0","0","2955","2262"
"9","1.001","5","0.2","60","9","827","2955","2270","0","0","0","0","2955","2270"
"13","1.001","5","0.2","60","9","878","2955","2259","0","0","0","0","2955","2259"
"11","1.001","5","0.2","60","10","845","2955","2273","0","0","0","0","2955","2273"
"3","1.001","5","0.2","40","4","545","2955","2466","1","0","0.338409475465313","0","2954","2466"
"12","1.001","5","0.2","60","10","822","2955","2272","0","0","0","0","2955","2272"
"14","1.001","5","0.2","60","10","833","2955","2266","1","0","0.338409475465313","0","2954","2266"
"10","1.001","5","0.2","60","10","852","2955","2274","1","0","0.338409475465313","0","2954","2274"
"9","1.001","5","0.2","60","10","827","2955","2270","0","0","0","0","2955","2270"
"15","1.001","5","0.2","60","10","863","2955","2262","2","1","0.676818950930626","0.44208664898320066","2953","2261"
"13","1.001","5","0.2","60","10","878","2955","2259","0","0","0","0","2955","2259"
"11","1.001","5","0.2","60","11","845","2955","2273","0","0","0","0","2955","2273"
"12","1.001","5","0.2","60","11","822","2955","2272","0","0","0","0","2955","2272"
"14","1.001","5","0.2","60","11","833","2955","2266","0","0","0","0","2955","2266"
"10","1.001","5","0.2","60","11","852","2955","2274","0","0","0","0","2955","2274"
"9","1.001","5","0.2","60","11","827","2955","2270","0","0","0","0","2955","2270"
"15","1.001","5","0.2","60","11","863","2955","2261","0","0","0","0","2955","2261"
"13","1.001","5","0.2","60","11","878","2955","2259","0","0","0","0","2955","2259"
"11","1.001","5","0.2","60","12","845","2955","2273","0","0","0","0","2955","2273"
"14","1.001","5","0.2","60","12","833","2955","2266","0","0","0","0","2955","2266"
"12","1.001","5","0.2","60","12","822","2955","2272","0","0","0","0","2955","2272"
